model,condition,class_id,action,support,clean_accuracy,mean_accuracy,std_accuracy,absolute_drop
stgcn,coord_noise_mild,56,touch other person's pocket,275,0.9285,0.7115,0.1422,0.217
stgcn,coord_noise_mild,57,handshaking,276,0.9517,0.6981,0.1455,0.2536
stgcn,coord_noise_mild,58,walking towards each other,273,0.9939,0.956,0.0168,0.0379
stgcn,coord_noise_mild,59,walking apart from each other,276,0.9626,0.9481,0.0075,0.0145
stgcn,frame_missing_mild,0,drink water,274,0.8759,0.8431,0.0193,0.0328
stgcn,frame_missing_mild,1,eat meal/snack,275,0.7394,0.6776,0.0242,0.0618
stgcn,frame_missing_mild,2,brushing teeth,273,0.8584,0.7643,0.0042,0.094
stgcn,frame_missing_mild,3,brushing hair,273,0.9048,0.8559,0.0021,0.0488
stgcn,frame_missing_mild,4,drop,275,0.8315,0.8364,0.0145,-0.0048
stgcn,frame_missing_mild,5,pickup,275,0.9527,0.9261,0.0056,0.0267
stgcn,frame_missing_mild,6,throw,275,0.9115,0.9018,0.0073,0.0097
stgcn,frame_missing_mild,7,sitting down,273,0.9658,0.9548,0.0056,0.011
stgcn,frame_missing_mild,8,standing up (from sitting position),273,0.9805,0.9756,0.0056,0.0049
stgcn,frame_missing_mild,9,clapping,273,0.7827,0.7241,0.0139,0.0586
stgcn,frame_missing_mild,10,reading,273,0.6032,0.5495,0.0493,0.0537
stgcn,frame_missing_mild,11,writing,272,0.5245,0.3762,0.0202,0.1483
stgcn,frame_missing_mild,12,tear up paper,271,0.8954,0.8672,0.0074,0.0283
stgcn,frame_missing_mild,13,wear jacket,275,0.983,0.9782,0.0036,0.0048
stgcn,frame_missing_mild,14,take off jacket,276,0.9589,0.9505,0.0091,0.0085
stgcn,frame_missing_mild,15,wear a shoe,273,0.6545,0.5128,0.0204,0.1416
stgcn,frame_missing_mild,16,take off a shoe,274,0.7798,0.6922,0.0295,0.0876
stgcn,frame_missing_mild,17,wear on glasses,273,0.906,0.7875,0.019,0.1184
stgcn,frame_missing_mild,18,take off glasses,274,0.9343,0.8114,0.0553,0.1229
stgcn,frame_missing_mild,19,put on a hat/cap,272,0.9498,0.9277,0.0021,0.0221
stgcn,frame_missing_mild,20,take off a hat/cap,273,0.9731,0.956,0.0037,0.0171
stgcn,frame_missing_mild,21,cheer up,274,0.9234,0.9307,0.0132,-0.0073
stgcn,frame_missing_mild,22,hand waving,274,0.9063,0.8978,0.0036,0.0085
stgcn,frame_missing_mild,23,kicking something,276,0.9372,0.8925,0.0218,0.0447
stgcn,frame_missing_mild,24,reach into pocket,274,0.8358,0.708,0.0276,0.1277
stgcn,frame_missing_mild,25,hopping (one foot jumping),275,0.9879,0.9794,0.0021,0.0085
stgcn,frame_missing_mild,26,jump up,276,0.9964,0.9746,0.0063,0.0217
stgcn,frame_missing_mild,27,make a phone call/answer phone,275,0.8679,0.7661,0.0588,0.1018
stgcn,frame_missing_mild,28,playing with phone/tablet,275,0.6824,0.5758,0.0871,0.1067
stgcn,frame_missing_mild,29,typing on a keyboard,275,0.7515,0.6958,0.0571,0.0558
stgcn,frame_missing_mild,30,pointing to something with finger,276,0.7585,0.7476,0.0487,0.0109
stgcn,frame_missing_mild,31,taking a selfie,276,0.8925,0.8357,0.0247,0.0568
stgcn,frame_missing_mild,32,check time (from watch),276,0.8829,0.808,0.0288,0.0749
stgcn,frame_missing_mild,33,rub two hands together,276,0.8829,0.8261,0.0202,0.0568
stgcn,frame_missing_mild,34,nod head/bow,276,0.965,0.9565,0.0072,0.0085
stgcn,frame_missing_mild,35,shake head,275,0.9418,0.8727,0.0221,0.0691
stgcn,frame_missing_mild,36,wipe face,276,0.8321,0.7572,0.0382,0.0749
stgcn,frame_missing_mild,37,salute,276,0.9179,0.8768,0.0238,0.0411
stgcn,frame_missing_mild,38,put the palms together,276,0.9408,0.8961,0.0167,0.0447
stgcn,frame_missing_mild,39,cross hands in front (say stop),276,0.8998,0.8925,0.0186,0.0072
stgcn,frame_missing_mild,40,sneeze/cough,276,0.7379,0.6703,0.0274,0.0676
stgcn,frame_missing_mild,41,staggering,276,0.9915,0.9034,0.02,0.0882
stgcn,frame_missing_mild,42,falling,275,0.9855,0.9855,0.0,0.0
stgcn,frame_missing_mild,43,touch head (headache),276,0.7657,0.6932,0.0443,0.0725
stgcn,frame_missing_mild,44,touch chest (stomachache/heart pain),276,0.9058,0.913,0.0096,-0.0072
stgcn,frame_missing_mild,45,touch back (backache),276,0.9263,0.8756,0.0317,0.0507
stgcn,frame_missing_mild,46,touch neck (neckache),276,0.8816,0.8092,0.0335,0.0725
stgcn,frame_missing_mild,47,nausea or vomiting condition,275,0.8509,0.7745,0.0218,0.0764
stgcn,frame_missing_mild,48,use a fan (with hand or paper)/feeling warm,275,0.9261,0.8982,0.0063,0.0279
stgcn,frame_missing_mild,49,punching/slapping other person,274,0.8662,0.7908,0.0076,0.0754
stgcn,frame_missing_mild,50,kicking other person,276,0.9167,0.8563,0.0487,0.0604
stgcn,frame_missing_mild,51,pushing other person,276,0.971,0.9082,0.02,0.0628
stgcn,frame_missing_mild,52,pat on back of other person,276,0.942,0.9312,0.0158,0.0109
stgcn,frame_missing_mild,53,point finger at the other person,276,0.907,0.7077,0.0462,0.1993
stgcn,frame_missing_mild,54,hugging other person,274,0.9757,0.9684,0.0092,0.0073
stgcn,frame_missing_mild,55,giving something to other person,276,0.9348,0.8925,0.0042,0.0423
stgcn,frame_missing_mild,56,touch other person's pocket,275,0.9285,0.8145,0.0145,0.1139
stgcn,frame_missing_mild,57,handshaking,276,0.9517,0.8587,0.0166,0.093
stgcn,frame_missing_mild,58,walking towards each other,273,0.9939,0.9805,0.0056,0.0134
stgcn,frame_missing_mild,59,walking apart from each other,276,0.9626,0.9626,0.0105,0.0
stgcn,mixed_mild,0,drink water,274,0.8759,0.4878,0.0147,0.3881
stgcn,mixed_mild,1,eat meal/snack,275,0.7394,0.4303,0.0373,0.3091
stgcn,mixed_mild,2,brushing teeth,273,0.8584,0.3468,0.0883,0.5116
stgcn,mixed_mild,3,brushing hair,273,0.9048,0.4274,0.0208,0.4774
stgcn,mixed_mild,4,drop,275,0.8315,0.44,0.0549,0.3915
stgcn,mixed_mild,5,pickup,275,0.9527,0.76,0.0323,0.1927
stgcn,mixed_mild,6,throw,275,0.9115,0.6303,0.0111,0.2812
stgcn,mixed_mild,7,sitting down,273,0.9658,0.7534,0.0584,0.2125
stgcn,mixed_mild,8,standing up (from sitting position),273,0.9805,0.8437,0.0076,0.1368
stgcn,mixed_mild,9,clapping,273,0.7827,0.5177,0.0777,0.265
stgcn,mixed_mild,10,reading,273,0.6032,0.2833,0.1077,0.3199
stgcn,mixed_mild,11,writing,272,0.5245,0.3873,0.0785,0.1373
stgcn,mixed_mild,12,tear up paper,271,0.8954,0.5449,0.053,0.3506
stgcn,mixed_mild,13,wear jacket,275,0.983,0.9248,0.0237,0.0582
stgcn,mixed_mild,14,take off jacket,276,0.9589,0.8188,0.0036,0.1401
